sId,tbId,type,no,name,description,descriptionEn,Xml,remark,createUser,createTime,modifyUser,modifyTime,sTamp
f58a5c06-88df-4d59-b331-7bb5d19b86b1,1b5f0d8d-b9d7-4446-b4bd-5e261185e169,1,1,执行线,NULL,NULL,<Root><Item><name>name</name><uiWidth>60</uiWidth><uiReadOnly>False</uiReadOnly></Item><Item><name>lineId</name><uiWidth>60</uiWidth><uiReadOnly>False</uiReadOnly></Item><Item><name>lineCode</name><uiWidth>60</uiWidth><uiReadOnly>False</uiReadOnly></Item><Item><name>execCmmdId</name><uiWidth>60</uiWidth><uiReadOnly>False</uiReadOnly></Item><Item><name>description</name><uiWidth>60</uiWidth><uiReadOnly>False</uiReadOnly></Item><Item><name>remark</name><uiWidth>60</uiWidth><uiReadOnly>False</uiReadOnly></Item></Root>,NULL,77dec868-d001-4790-b6a4-0fa8df9a39f9,2012-11-30 20:24:15.9070170 +08:00,295e169d-cf86-4077-b8a9-4c5ec42b565d,2013-11-04 11:25:37.9783838 +08:00,0x00000000000E7BBD
fea10361-d789-4d35-aad1-9d60d891ab1b,1b5f0d8d-b9d7-4446-b4bd-5e261185e169,1,2,分支线,NULL,NULL,<Root><Item><name>name</name><uiWidth>60</uiWidth><uiReadOnly>False</uiReadOnly></Item><Item><name>lineId</name><uiWidth>60</uiWidth><uiReadOnly>False</uiReadOnly></Item><Item><name>lineCode</name><uiWidth>60</uiWidth><uiReadOnly>False</uiReadOnly></Item><Item><name>description</name><uiWidth>60</uiWidth><uiReadOnly>False</uiReadOnly></Item><Item><name>remark</name><uiWidth>60</uiWidth><uiReadOnly>False</uiReadOnly></Item></Root>,NULL,77dec868-d001-4790-b6a4-0fa8df9a39f9,2012-11-30 20:26:32.3715765 +08:00,295e169d-cf86-4077-b8a9-4c5ec42b565d,2013-11-04 11:21:26.4739985 +08:00,0x00000000000E7B97
af535068-73b7-4054-91c6-05abc5f1c305,2be97a9f-4134-450f-8961-9c42ab045075,2,10,标题模板,NULL,NULL,<Root><Item><PName></PName><Name>name</Name><AssemblyName>Spring.Windows.Framework</AssemblyName><ClassName>Spring.Windows.Framework.UiControl.SpringLabel</ClassName><TabIndex>0</TabIndex><LocationX>1</LocationX><LocationY>5</LocationY><SizeWidth>62</SizeWidth><SizeHeight>15</SizeHeight><Visible>True</Visible><ReadOnly>True</ReadOnly><Text>应用名称</Text><BackColor>-986896</BackColor><Dock>None</Dock><isNullable>False</isNullable><uiTitle></uiTitle><uiDefault></uiDefault><dbName></dbName><tbName></tbName><templateType>-1</templateType><listName></listName><subListName></subListName><valueMember></valueMember><displayMember></displayMember><displayType>0</displayType><isPage>False</isPage><pageSize>10</pageSize><addWhere></addWhere><orderValue></orderValue></Item><Item><PName></PName><Name>name</Name><AssemblyName>Spring.Windows.Framework</AssemblyName><ClassName>Spring.Windows.Framework.UiControl.SpringTextBox</ClassName><TabIndex>1</TabIndex><LocationX>69</LocationX><LocationY>2</LocationY><SizeWidth>160</SizeWidth><SizeHeight>21</SizeHeight><Visible>True</Visible><ReadOnly>False</ReadOnly><Text></Text><BackColor>-1</BackColor><Dock>None</Dock><isNullable>True</isNullable><uiTitle></uiTitle><uiDefault></uiDefault><dbName></dbName><tbName></tbName><templateType>-1</templateType><listName></listName><subListName></subListName><valueMember></valueMember><displayMember></displayMember><displayType>0</displayType><isPage>False</isPage><pageSize>10</pageSize><addWhere></addWhere><orderValue></orderValue></Item><Item><PName></PName><Name>uiType</Name><AssemblyName>Spring.Windows.Framework</AssemblyName><ClassName>Spring.Windows.Framework.UiControl.SpringLabel</ClassName><TabIndex>4</TabIndex><LocationX>398</LocationX><LocationY>6</LocationY><SizeWidth>59</SizeWidth><SizeHeight>17</SizeHeight><Visible>True</Visible><ReadOnly>True</ReadOnly><Text>UI类型</Text><BackColor>-986896</BackColor><Dock>None</Dock><isNullable>False</isNullable><uiTitle></uiTitle><uiDefault></uiDefault><dbName></dbName><tbName></tbName><templateType>-1</templateType><listName></listName><subListName></subListName><valueMember></valueMember><displayMember></displayMember><displayType>0</displayType><isPage>False</isPage><pageSize>10</pageSize><addWhere></addWhere><orderValue></orderValue></Item><Item><PName></PName><Name>uiType</Name><AssemblyName>Spring.Windows.Framework</AssemblyName><ClassName>Spring.Windows.Framework.UiControl.SpringDropDownList</ClassName><TabIndex>5</TabIndex><LocationX>463</LocationX><LocationY>2</LocationY><SizeWidth>121</SizeWidth><SizeHeight>20</SizeHeight><Visible>True</Visible><ReadOnly>False</ReadOnly><Text></Text><BackColor>-1</BackColor><Dock>None</Dock><isNullable>True</isNullable><uiTitle></uiTitle><uiDefault>-1</uiDefault><dbName>Spring</dbName><tbName></tbName><templateType>-1</templateType><listName></listName><subListName></subListName><valueMember>-1</valueMember><displayMember></displayMember><displayType>1</displayType><isPage>False</isPage><pageSize>10</pageSize><addWhere></addWhere><orderValue></orderValue></Item><Item><PName></PName><Name>no</Name><AssemblyName>Spring.Windows.Framework</AssemblyName><ClassName>Spring.Windows.Framework.UiControl.SpringLabel</ClassName><TabIndex>6</TabIndex><LocationX>235</LocationX><LocationY>5</LocationY><SizeWidth>38</SizeWidth><SizeHeight>16</SizeHeight><Visible>True</Visible><ReadOnly>True</ReadOnly><Text>内码</Text><BackColor>-986896</BackColor><Dock>None</Dock><isNullable>False</isNullable><uiTitle></uiTitle><uiDefault></uiDefault><dbName></dbName><tbName></tbName><templateType>-1</templateType><listName></listName><subListName></subListName><valueMember></valueMember><displayMember></displayMember><displayType>0</displayType><isPage>False</isPage><pageSize>10</pageSize><addWhere></addWhere><orderValue></orderValue></Item><Item><PName></PName><Name>no</Name><AssemblyName>Spring.Windows.Framework</AssemblyName><ClassName>Spring.Windows.Framework.UiControl.SpringTextBox</ClassName><TabIndex>7</TabIndex><LocationX>279</LocationX><LocationY>2</LocationY><SizeWidth>100</SizeWidth><SizeHeight>21</SizeHeight><Visible>True</Visible><ReadOnly>False</ReadOnly><Text></Text><BackColor>-1</BackColor><Dock>None</Dock><isNullable>True</isNullable><uiTitle></uiTitle><uiDefault></uiDefault><dbName></dbName><tbName></tbName><templateType>-1</templateType><listName></listName><subListName></subListName><valueMember></valueMember><displayMember></displayMember><displayType>0</displayType><isPage>False</isPage><pageSize>10</pageSize><addWhere></addWhere><orderValue></orderValue></Item></Root>,NULL,,2012-11-01 07:12:57.3296885 +08:00,77dec868-d001-4790-b6a4-0fa8df9a39f9,2012-11-07 14:29:00.8999804 +08:00,0x000000000001931F
9e869821-eb75-4bfa-a6e8-4735c35027aa,2be97a9f-4134-450f-8961-9c42ab045075,1,100,下拉列表,NULL,NULL,<Root><Item><name>no</name><uiWidth>60</uiWidth><uiReadOnly>False</uiReadOnly></Item><Item><name>code</name><uiWidth>60</uiWidth><uiReadOnly>False</uiReadOnly></Item><Item><name>name</name><uiWidth>100</uiWidth><uiReadOnly>False</uiReadOnly></Item></Root>,NULL,77dec868-d001-4790-b6a4-0fa8df9a39f9,2012-11-07 12:47:03.3145747 +08:00,77dec868-d001-4790-b6a4-0fa8df9a39f9,2012-11-07 12:47:30.3601216 +08:00,0x00000000000191C9
89e61fe3-9e70-49a4-b36c-da61f6c8601f,2e138978-807a-4f2c-9198-9ecfd36a77c4,1,1,编辑模板,NULL,NULL,<Root><Item><name>userId</name><uiWidth>100</uiWidth><uiReadOnly>False</uiReadOnly></Item><Item><name>isDel</name><uiWidth>50</uiWidth><uiReadOnly>True</uiReadOnly></Item><Item><name>userTypeType</name><uiWidth>80</uiWidth><uiReadOnly>True</uiReadOnly></Item><Item><name>code</name><uiWidth>60</uiWidth><uiReadOnly>True</uiReadOnly></Item><Item><name>nameEn</name><uiWidth>90</uiWidth><uiReadOnly>True</uiReadOnly></Item><Item><name>genderName</name><uiWidth>50</uiWidth><uiReadOnly>True</uiReadOnly></Item><Item><name>phone</name><uiWidth>80</uiWidth><uiReadOnly>True</uiReadOnly></Item><Item><name>mobilePhone</name><uiWidth>80</uiWidth><uiReadOnly>True</uiReadOnly></Item><Item><name>email</name><uiWidth>80</uiWidth><uiReadOnly>True</uiReadOnly></Item><Item><name>msn</name><uiWidth>80</uiWidth><uiReadOnly>True</uiReadOnly></Item><Item><name>qq</name><uiWidth>80</uiWidth><uiReadOnly>True</uiReadOnly></Item><Item><name>createUser</name><uiWidth>80</uiWidth><uiReadOnly>True</uiReadOnly></Item><Item><name>createTime</name><uiWidth>80</uiWidth><uiReadOnly>True</uiReadOnly></Item><Item><name>modifyUser</name><uiWidth>80</uiWidth><uiReadOnly>True</uiReadOnly></Item><Item><name>modifyTime</name><uiWidth>80</uiWidth><uiReadOnly>True</uiReadOnly></Item></Root>,NULL,77dec868-d001-4790-b6a4-0fa8df9a39f9,2012-11-08 00:56:35.1293183 +08:00,77dec868-d001-4790-b6a4-0fa8df9a39f9,2012-11-08 01:20:22.5215441 +08:00,0x000000000001ADB2
b1e1bbd8-5daf-42d9-bdfa-701388e05248,32fc2f41-e515-410c-830e-94f1f2cd4915,1,1,显示,NULL,NULL,<Root><Item><name>tag</name><uiWidth>80</uiWidth><uiReadOnly>False</uiReadOnly></Item><Item><name>createTime</name><uiWidth>130</uiWidth><uiReadOnly>True</uiReadOnly></Item><Item><name>msg</name><uiWidth>400</uiWidth><uiReadOnly>False</uiReadOnly></Item><Item><name>num</name><uiWidth>70</uiWidth><uiReadOnly>False</uiReadOnly></Item><Item><name>nextTime</name><uiWidth>130</uiWidth><uiReadOnly>False</uiReadOnly></Item></Root>,NULL,295e169d-cf86-4077-b8a9-4c5ec42b565d,2019-01-07 15:59:46.6214066 +08:00,295e169d-cf86-4077-b8a9-4c5ec42b565d,2019-01-07 16:00:02.2933709 +08:00,0x0000000000977F84
647dc968-58d8-43c0-bc64-4cb6822d43c7,32fc2f41-e515-410c-830e-94f1f2cd4915,3,2,编辑,NULL,NULL,"<TABLE>
<TBODY>
<TR>
<TD><SPAN id=lbl_tag>操作标识</SPAN> </TD>
<TD><INPUT id=txt_tag style=""WIDTH: 200px""> </TD></TR>
<TR>
<TD><SPAN id=lbl_msg>消息内容</SPAN> </TD>
<TD><TEXTAREA id=txt_msg style=""HEIGHT: 128px; WIDTH: 417px"" rows=1 cols=1>                </TEXTAREA> </TD></TR>
<TR>
<TD><SPAN id=lbl_createTime>创建时间</SPAN> </TD>
<TD><INPUT id=txt_createTime style=""WIDTH: 200px""> </TD></TR>
<TR>
<TD><SPAN id=lbl_num>执行次数</SPAN> </TD>
<TD><INPUT id=txt_num style=""WIDTH: 200px""> </TD></TR>
<TR>
<TD><SPAN id=lbl_nextTime>下次执行时间</SPAN> </TD>
<TD><INPUT id=txt_nextTime style=""WIDTH: 200px""> </TD></TR></TBODY></TABLE>",NULL,295e169d-cf86-4077-b8a9-4c5ec42b565d,2019-01-07 16:01:58.9902771 +08:00,295e169d-cf86-4077-b8a9-4c5ec42b565d,2019-01-07 16:05:20.6275315 +08:00,0x0000000000977F85
5848643f-e2dc-450b-ba8a-6fb29976a897,32fc2f41-e515-410c-830e-94f1f2cd4915,1,12,查询,NULL,NULL,<Root><Item><name>tag</name><uiWidth>80</uiWidth><uiReadOnly>False</uiReadOnly></Item><Item><name>createTime</name><uiWidth>130</uiWidth><uiReadOnly>True</uiReadOnly></Item><Item><name>msg</name><uiWidth>400</uiWidth><uiReadOnly>False</uiReadOnly></Item><Item><name>num</name><uiWidth>70</uiWidth><uiReadOnly>False</uiReadOnly></Item><Item><name>nextTime</name><uiWidth>130</uiWidth><uiReadOnly>False</uiReadOnly></Item></Root>,NULL,295e169d-cf86-4077-b8a9-4c5ec42b565d,2019-01-07 16:00:27.7622563 +08:00,295e169d-cf86-4077-b8a9-4c5ec42b565d,2019-01-07 16:00:27.7622563 +08:00,0x0000000000977F86
5f80b16d-508c-4d64-9ddf-bfa171445d25,3692af45-c510-4184-8d43-6afa722f7505,1,99,多数据集合选择,NULL,NULL,<Root><Item><name>isField</name><uiWidth>60</uiWidth><uiReadOnly>True</uiReadOnly></Item><Item><name>name</name><uiWidth>80</uiWidth><uiReadOnly>True</uiReadOnly></Item><Item><name>description</name><uiWidth>100</uiWidth><uiReadOnly>True</uiReadOnly></Item><Item><name>fdType</name><uiWidth>80</uiWidth><uiReadOnly>True</uiReadOnly></Item><Item><name>length</name><uiWidth>60</uiWidth><uiReadOnly>True</uiReadOnly></Item><Item><name>decimal</name><uiWidth>60</uiWidth><uiReadOnly>True</uiReadOnly></Item><Item><name>uiVisible</name><uiWidth>60</uiWidth><uiReadOnly>False</uiReadOnly></Item><Item><name>uiReadOnly</name><uiWidth>60</uiWidth><uiReadOnly>False</uiReadOnly></Item><Item><name>uiWidth</name><uiWidth>60</uiWidth><uiReadOnly>False</uiReadOnly></Item><Item><name>uiType</name><uiWidth>90</uiWidth><uiReadOnly>True</uiReadOnly></Item><Item><name>uiMask</name><uiWidth>90</uiWidth><uiReadOnly>True</uiReadOnly></Item><Item><name>uiDefault</name><uiWidth>60</uiWidth><uiReadOnly>True</uiReadOnly></Item></Root>,NULL,77dec868-d001-4790-b6a4-0fa8df9a39f9,2012-11-06 14:22:31.8640088 +08:00,77dec868-d001-4790-b6a4-0fa8df9a39f9,2012-11-06 14:37:19.0377523 +08:00,0x0000000000018FCA
5a5cf2c4-1b38-4599-b743-bf8fa0aaf0ed,3692af45-c510-4184-8d43-6afa722f7505,1,100,下拉列表,NULL,NULL,<Root><Item><name>name</name><uiWidth>80</uiWidth><uiReadOnly>False</uiReadOnly></Item><Item><name>description</name><uiWidth>100</uiWidth><uiReadOnly>False</uiReadOnly></Item><Item><name>fdType</name><uiWidth>80</uiWidth><uiReadOnly>False</uiReadOnly></Item><Item><name>length</name><uiWidth>60</uiWidth><uiReadOnly>False</uiReadOnly></Item><Item><name>decimal</name><uiWidth>60</uiWidth><uiReadOnly>False</uiReadOnly></Item></Root>,NULL,77dec868-d001-4790-b6a4-0fa8df9a39f9,2012-11-07 19:22:48.4241149 +08:00,77dec868-d001-4790-b6a4-0fa8df9a39f9,2012-11-07 19:22:48.4241149 +08:00,0x0000000000019EF0
