tbName,path,sId,language,name,description,descriptionEn,remark,createUser,createTime,modifyUser,modifyTime,sTamp
springTb,pId='1ded829c-3c94-46b3-8517-e6ea51fc1ac9',378ea5cb-0916-4cbc-a10c-8742d36e3d1c,NULL,springTb,表,NULL,NULL,,2012-11-02 22:38:23.2101974 +08:00,,2012-11-02 22:38:23.2101974 +08:00,0x00000000000007F2
springTb,pId='1ded829c-3c94-46b3-8517-e6ea51fc1ac9',3692af45-c510-4184-8d43-6afa722f7505,NULL,springField,字段,NULL,NULL,,2012-11-02 22:38:23.2101974 +08:00,,2012-11-02 22:38:23.2101974 +08:00,0x0000000000000823
springTb,pId='1ded829c-3c94-46b3-8517-e6ea51fc1ac9',f9cdfe09-12c5-4053-aa81-f5a7474bb183,NULL,springFdList_m,值列表,NULL,NULL,,2012-11-02 22:38:23.2111974 +08:00,,2012-11-02 22:38:23.2111974 +08:00,0x000000000000083D
springTb,pId='1ded829c-3c94-46b3-8517-e6ea51fc1ac9',7fe1f540-e2f8-4625-bc73-c84ec9b0996c,NULL,springFdList_d,值列表值,NULL,NULL,,2012-11-02 22:38:23.2111974 +08:00,,2012-11-02 22:38:23.2111974 +08:00,0x0000000000000854
springTb,pId='1ded829c-3c94-46b3-8517-e6ea51fc1ac9',16ef750c-dcb0-4363-9596-6b0b26d3f2e2,NULL,springFdForeignKey,表外键,NULL,NULL,,2012-11-02 22:38:23.2121975 +08:00,,2012-11-02 22:38:23.2121975 +08:00,0x0000000000000875
springTb,pId='1ded829c-3c94-46b3-8517-e6ea51fc1ac9',699c762d-6f55-41a3-8e46-26d331d2c462,NULL,springTbTypeRel,表类型关联定义表,NULL,NULL,,2012-11-02 22:38:23.2121975 +08:00,,2012-11-02 22:38:23.2121975 +08:00,0x0000000000000889
springTb,pId='1ded829c-3c94-46b3-8517-e6ea51fc1ac9',37a2390e-a44d-44e5-aceb-cf96a5004aec,NULL,springTbUiTemplate,UI模板,NULL,NULL,,2012-11-02 22:38:23.2141976 +08:00,,2012-11-02 22:38:23.2141976 +08:00,0x0000000000000917
springTb,pId='1ded829c-3c94-46b3-8517-e6ea51fc1ac9',c6be6d56-4956-421b-81c1-c6a7eb7e27b2,NULL,springTbSpSetup,存储过程生成设置,NULL,NULL,,2012-11-02 22:38:23.2151976 +08:00,,2012-11-02 22:38:23.2151976 +08:00,0x00000000000008AF
springTb,pId='1ded829c-3c94-46b3-8517-e6ea51fc1ac9',9f7cddae-40c3-4ca9-b74a-f86bbee4a75c,NULL,springSp,存储过程,NULL,NULL,,2012-11-02 22:38:23.2161977 +08:00,,2012-11-02 22:38:23.2161977 +08:00,0x00000000000008CD
springTb,pId='1ded829c-3c94-46b3-8517-e6ea51fc1ac9',7fc9554b-9ff8-4f7a-89f2-d226bb7a1bd2,NULL,springSpTranslation,存储过程翻译,NULL,NULL,,2012-11-02 22:38:23.2161977 +08:00,,2012-11-02 22:38:23.2161977 +08:00,0x00000000000008EB
springTb,pId='1ded829c-3c94-46b3-8517-e6ea51fc1ac9',f11e3bbb-9592-4462-918b-168bbcc56c7c,NULL,springTranslation,翻译表,NULL,NULL,,2012-11-02 22:38:23.2161977 +08:00,,2012-11-02 22:38:23.2161977 +08:00,0x00000000000008FD
